HGNC ID	Approved Symbol
HGNC:10615	CCL17
HGNC:10616	CCL18
HGNC:10617	CCL19
HGNC:10618	CCL2
HGNC:10619	CCL20
HGNC:1062	BLVRA
HGNC:10620	CCL21
HGNC:10621	CCL22
HGNC:10622	CCL23
HGNC:10623	CCL24
HGNC:10624	CCL25
HGNC:10625	CCL26
HGNC:10626	CCL27
HGNC:10627	CCL3
HGNC:10628	CCL3L1
HGNC:10629	CCL3P1
HGNC:1063	BLVRB
HGNC:10630	CCL4
HGNC:10631	CCL4L1
HGNC:10632	CCL5
HGNC:10634	CCL7
HGNC:10635	CCL8
HGNC:10637	CXCL10
HGNC:10638	CXCL11
HGNC:10639	CXCL13
HGNC:10640	CXCL14
HGNC:10641	CXCL1P
HGNC:10642	CXCL5
HGNC:10643	CXCL6
HGNC:10645	XCL1
HGNC:10646	XCL2
HGNC:10647	CX3CL1
HGNC:10648	AIMP1
HGNC:10649	SCZD1
HGNC:1065	BLZF1
HGNC:10650	SCZD2
HGNC:10651	SCZD3
HGNC:10652	SCZD4
HGNC:10653	SCZD5
HGNC:10654	SCZD6
HGNC:10655	SCZD7
HGNC:10656	SCZD8
HGNC:10658	SDC1
HGNC:10659	SDC2
HGNC:1066	BMI1
HGNC:10660	SDC3
HGNC:10661	SDC4
HGNC:10662	SDCBP
HGNC:10663	NEMF
HGNC:10664	CWC27
HGNC:10665	UTP14A
HGNC:10666	STARD10
HGNC:10667	SDCCAG3
HGNC:10668	NOXA1
HGNC:10669	TSHZ1
HGNC:1067	BMP1
HGNC:10671	SDCCAG8
HGNC:10672	CXCL12
HGNC:10675	SDF2
HGNC:10676	SDF2L1
HGNC:1068	BMP15
HGNC:10680	SDHA
HGNC:10681	SDHB
HGNC:10682	SDHC
HGNC:10683	SDHD
HGNC:10684	SDHDP1
HGNC:10685	SDHDP2
HGNC:10686	SDHDP3
HGNC:10687	SDHDP4
HGNC:10688	SDHDP5
HGNC:10689	SDHDP6
HGNC:1069	BMP2
HGNC:10690	SDPR
HGNC:10691	SDS
HGNC:10692	SDU
HGNC:10695	SEA
HGNC:10696	EXOC5
HGNC:10697	SEC13
HGNC:10698	SEC14L1
HGNC:10699	SEC14L2
HGNC:1070	BMP3
HGNC:10700	SEC22B
HGNC:10701	SEC23A
HGNC:10702	SEC23B
HGNC:10703	SEC24A
HGNC:10704	SEC24B
HGNC:10705	SEC24C
HGNC:10706	SEC24D
HGNC:10707	SECTM1
HGNC:1071	BMP4
HGNC:10710	TRAPPC2P1
HGNC:10711	TRAPPC2P2
HGNC:10712	TRAPPC2P3
HGNC:10713	TRAPPC2P4
HGNC:10714	TRAPPC2P5
HGNC:10715	TRAPPC2P6
HGNC:10716	TRAPPC2P7
HGNC:10717	SEL1L
HGNC:10718	SELE
HGNC:10719	SELENBP1
HGNC:1072	BMP5
HGNC:10720	SELL
HGNC:10721	SELP
HGNC:10722	SELPLG
HGNC:10723	SEMA3A
HGNC:10724	SEMA3B
HGNC:10725	SEMA3C
HGNC:10726	SEMA3D
HGNC:10727	SEMA3E
HGNC:10728	SEMA3F
HGNC:10729	SEMA4A
HGNC:1073	BMP6
HGNC:10730	SEMA4B
HGNC:10731	SEMA4C
HGNC:10732	SEMA4D
HGNC:10734	SEMA4F
HGNC:10735	SEMA4G
HGNC:10736	SEMA5A
HGNC:10737	SEMA5B
HGNC:10738	SEMA6A
HGNC:10739	SEMA6B
HGNC:1074	BMP7
HGNC:10740	SEMA6C
HGNC:10741	SEMA7A
HGNC:10742	SEMG1
HGNC:10743	SEMG2
HGNC:10745	SEN2
HGNC:10746	SEN3
HGNC:10747	SEN6
HGNC:10748	SEN6A
HGNC:10749	SEN6B
HGNC:1075	BMP8B
HGNC:10750	SEPT3
HGNC:10751	SEPP1
HGNC:10752	SEPW1
HGNC:10753	SEPW1P
HGNC:10755	SERF1A
HGNC:10756	SERF1B
HGNC:10757	SERF2
HGNC:10759	SERP1
HGNC:1076	BMPR1A
HGNC:10760	SET
HGNC:10761	SETDB1
HGNC:10762	SETMAR
HGNC:10763	SEZ6L
HGNC:10765	SF3A1
HGNC:10766	SF3A2
HGNC:10767	SF3A3
HGNC:10768	SF3B1
HGNC:10769	SF3B2
HGNC:1077	BMPR1B
HGNC:10770	SF3B3
HGNC:10771	SF3B4
HGNC:10773	SFN
HGNC:10774	SFPQ
HGNC:10775	SFPQP1
HGNC:10776	SFRP1
HGNC:10777	SFRP2
HGNC:10778	SFRP4
HGNC:10779	SFRP5
HGNC:1078	BMPR2
HGNC:10780	SRSF1
HGNC:10781	TRA2B
HGNC:10782	SRSF11
HGNC:10783	SRSF2
HGNC:10784	SCAF11
HGNC:10785	SRSF3
HGNC:10786	SRSF4
HGNC:10787	SRSF5
HGNC:10788	SRSF6
HGNC:10789	SRSF7
HGNC:1079	BMX
HGNC:10790	SFSWAP
HGNC:10791	SRSF9
HGNC:10792	SRSF9P1
HGNC:10798	SFTPA1
HGNC:10799	SFTPA2
HGNC:108	ACHE
HGNC:1080	POLR3D
HGNC:10800	SFTPA3P
HGNC:10801	SFTPB
HGNC:10802	SFTPC
HGNC:10803	SFTPD
HGNC:10805	SGCA
HGNC:10806	SGCB
HGNC:10807	SGCD
HGNC:10808	SGCE
HGNC:10809	SGCG
HGNC:1081	BNC1
HGNC:10810	SGK1
HGNC:10812	SGK3
HGNC:10815	SGM1
