HGNC ID	Approved Symbol
880	ALDH7A1P3
881	ALDH7A1P4
15471	ALDH8A1
412	ALDH9A1
28114	ALDH16A1
9722	ALDH18A1
414	ALDOA
415	ALDOAP1
416	ALDOAP2
417	ALDOB
418	ALDOC
18294	ALG1
33721	ALG1L
37258	ALG1L2
44372	ALG1L3P
44374	ALG1L5P
44375	ALG1L6P
44376	ALG1L7P
44377	ALG1L8P
44378	ALG1L9P
44379	ALG1L10P
44380	ALG1L11P
44381	ALG1L12P
44382	ALG1L13P
44383	ALG1L14P
44384	ALG1L15P
23159	ALG2
23056	ALG3
45159	ALG3P1
20266	ALG5
23157	ALG6
23161	ALG8
15672	ALG9
41409	ALG9-IT1
23162	ALG10
31088	ALG10B
32456	ALG11
19358	ALG12
30881	ALG13
41277	ALG13-AS1
28287	ALG14
427	ALK
17911	ALKBH1
32487	ALKBH2
30141	ALKBH3
48670	ALKBH3-AS1
21900	ALKBH4
25996	ALKBH5
28243	ALKBH6
21306	ALKBH7
25189	ALKBH8
17377	ALLC
428	ALMS1
41305	ALMS1-IT1
29586	ALMS1P1
435	ALOX5
436	ALOX5AP
429	ALOX12
51342	ALOX12-AS1
430	ALOX12B
431	ALOX12P1
432	ALOX12P2
433	ALOX15
434	ALOX15B
13742	ALOX15P1
39027	ALOX15P2
13743	ALOXE3
44238	ALOXE3P1
437	ALPI
20917	ALPK1
20565	ALPK2
17574	ALPK3
438	ALPL
439	ALPP
441	ALPPL2
14016	ALPPP
443	ALS2
20605	ALS2CL
14438	ALS2CR11
14439	ALS2CR12
444	ALS3
446	ALS5
34539	ALS7
1494	ALX1
449	ALX3
450	ALX4
19071	ALYREF
451	AMACR
452	AMBN
453	AMBP
25990	AMBRA1
456	AMCN
457	AMD1
44898	AMD1P1
460	AMD1P2
51608	AMD1P3
51609	AMD1P4
28577	AMDHD1
24262	AMDHD2
461	AMELX
462	AMELY
26837	AMER1
26360	AMER2
26771	AMER3
463	AMFR
464	AMH
465	AMHR2
20824	AMIGO1
24073	AMIGO2
24075	AMIGO3
466	AMLCR2
467	AMMECR1
41306	AMMECR1-IT1
28658	AMMECR1L
39809	AMMECR1LP1
14604	AMN
27281	AMN1
17810	AMOT
17811	AMOTL1
17812	AMOTL2
468	AMPD1
469	AMPD2
470	AMPD3
471	AMPH
473	AMT
33188	AMTN
474	AMY1A
475	AMY1B
476	AMY1C
477	AMY2A
478	AMY2B
479	AMYP1
22231	AMZ1
28041	AMZ2
26491	AMZ2P1
38072	AMZ2P2
19988	ANAPC1
44150	ANAPC1P1
19989	ANAPC2
19990	ANAPC4
15713	ANAPC5
17380	ANAPC7
24077	ANAPC10
33976	ANAPC10P1
14452	ANAPC11
24540	ANAPC13
24531	ANAPC15
26976	ANAPC16
482	ANCR
483	ANG
19961	ANGEL1
30534	ANGEL2
484	ANGPT1
485	ANGPT2
487	ANGPT4
489	ANGPTL1
490	ANGPTL2
491	ANGPTL3
16039	ANGPTL4
19705	ANGPTL5
23140	ANGPTL6
24078	ANGPTL7
24933	ANGPTL8
40024	ANHX
17627	ANIB1
31941	ANIB2
31942	ANIB3
31943	ANIB4
492	ANK1
493	ANK2
494	ANK3
26350	ANKAR
28002	ANKDD1A
32525	ANKDD1B
15803	ANKEF1
26766	ANKFN1
20763	ANKFY1
15492	ANKH
24714	ANKHD1
33530	ANKHD1-EIF4EBP3
22215	ANKIB1
21027	ANKK1
26812	ANKLE1
29101	ANKLE2
20987	ANKMY1
25370	ANKMY2
13208	ANKRA2
15819	ANKRD1
495	ANKRD2
17280	ANKRD6
18588	ANKRD7
20096	ANKRD9
20265	ANKRD10
39891	ANKRD10-IT1
21316	ANKRD11
