HGNC ID	Approved symbol	Previous symbols	NCBI Gene ID
HGNC:51498	ACTG1P18		100418924
HGNC:51499	ACTG1P19		644160
HGNC:51500	ACTG1P20		644961
HGNC:51501	ACTG1P21		100131291
HGNC:51502	ACTG1P22		100131953
HGNC:51503	ACTG1P23		442097
HGNC:49661	ACTG1P24	POTENP	441783
HGNC:54872	ACTG1P25		148709
HGNC:145	ACTG2	ACTL3, ACTA3	72
HGNC:24124	ACTL6A		86
HGNC:160	ACTL6B	ACTL6	51412
HGNC:161	ACTL7A		10881
HGNC:162	ACTL7B		10880
HGNC:24018	ACTL8		81569
HGNC:28494	ACTL9		284382
HGNC:16127	ACTL10	C20orf134	170487
HGNC:44626	ACTL11P	ACTBP13	389120
HGNC:24758	ACTMAP	C19orf54	284325
HGNC:163	ACTN1		87
HGNC:20131	ACTN1-DT	C14orf84, ACTN1-AS1	161159
HGNC:164	ACTN2		88
HGNC:165	ACTN3		89
HGNC:166	ACTN4	FSGS1	81
HGNC:44028	ACTN4P1		344978
HGNC:44032	ACTN4P2		391026
HGNC:51621	ACTP1		106480335
HGNC:167	ACTR1A		10121
HGNC:54703	ACTR1AP1		100287074
HGNC:168	ACTR1B	CTRN2	10120
HGNC:169	ACTR2		10097
HGNC:56978	ACTR2P1		100421614
HGNC:57006	ACTR2P2		284441
HGNC:170	ACTR3		10096
HGNC:53965	ACTR3-AS1		101060091
HGNC:17256	ACTR3B		57180
HGNC:37724	ACTR3BP1		643050
HGNC:38677	ACTR3BP2		440888
HGNC:38678	ACTR3BP3		647156
HGNC:38681	ACTR3BP4		777774
HGNC:38682	ACTR3BP5		399746
HGNC:38683	ACTR3BP6		644773
HGNC:54971	ACTR3BP7		100289004
HGNC:37282	ACTR3C		653857
HGNC:31820	ACTR3P1		100288580
HGNC:38676	ACTR3P2		100129013
HGNC:38679	ACTR3P3		100128020
HGNC:14671	ACTR5		79913
HGNC:24025	ACTR6		64431
HGNC:44210	ACTR6P1		100421495
HGNC:14672	ACTR8		93973
HGNC:17372	ACTR10		55860
HGNC:24027	ACTRT1		139741
HGNC:55127	ACTRT1P1		100128268
HGNC:24026	ACTRT2		140625
HGNC:24022	ACTRT3		84517
HGNC:171	ACVR1	ACVRLK2	90
HGNC:172	ACVR1B	ACVRLK4	91
HGNC:18123	ACVR1C		130399
HGNC:173	ACVR2A	ACVR2	92
HGNC:174	ACVR2B		93
HGNC:44161	ACVR2B-AS1		100128640
HGNC:175	ACVRL1	ACVRLK1, ORW2	94
HGNC:177	ACY1		95
HGNC:24104	ACY3		91703
HGNC:179	ACYP1		97
HGNC:180	ACYP2		98
HGNC:186	ADA		100
HGNC:1839	ADA2	IDGFL, CECR1	51816
HGNC:30713	ADAD1		132612
HGNC:44550	ADAD1P1		100422386
HGNC:44552	ADAD1P2		100422407
HGNC:30714	ADAD2		161931
HGNC:31853	ADAL		161823
HGNC:187	ADAM1A	ADAM1	8759
HGNC:44366	ADAM1B		100420505
HGNC:198	ADAM2	FTNB	2515
HGNC:209	ADAM3A	CYRN1	1587
HGNC:210	ADAM3B	CYRN2	1596
HGNC:212	ADAM5	ADAM5P	255926
HGNC:213	ADAM6	C14orf96	8755
HGNC:214	ADAM7		8756
HGNC:56152	ADAM7-AS1		101929294
HGNC:56153	ADAM7-AS2		101929315
HGNC:215	ADAM8		101
HGNC:216	ADAM9	CORD9	8754
HGNC:188	ADAM10		102
HGNC:189	ADAM11	MDC	4185
HGNC:190	ADAM12		8038
HGNC:193	ADAM15		8751
HGNC:195	ADAM17	TACE	6868
HGNC:196	ADAM18		8749
HGNC:197	ADAM19		8728
HGNC:199	ADAM20		8748
HGNC:20102	ADAM20P1	C14orf55	317760
HGNC:43901	ADAM20P2		100533671
HGNC:43902	ADAM20P3		644325
HGNC:200	ADAM21		8747
HGNC:19822	ADAM21P1	ADAM21P	145241
HGNC:201	ADAM22		53616
HGNC:202	ADAM23		8745
HGNC:203	ADAM24P		646479
HGNC:206	ADAM28		10863
HGNC:207	ADAM29		11086
HGNC:208	ADAM30		11085
HGNC:15479	ADAM32		203102
HGNC:15478	ADAM33	C20orf153	80332
HGNC:16299	ADAMDEC1		27299
HGNC:217	ADAMTS1		9510
HGNC:218	ADAMTS2		9509
HGNC:219	ADAMTS3		9508
HGNC:220	ADAMTS4		9507
HGNC:221	ADAMTS5		11096
HGNC:222	ADAMTS6		11174
HGNC:223	ADAMTS7		11173
HGNC:49407	ADAMTS7P1	ADAMTS7P2	390660
HGNC:49409	ADAMTS7P3		400406
HGNC:49410	ADAMTS7P4		642935
HGNC:56992	ADAMTS7P5		100422416
HGNC:224	ADAMTS8		11095
HGNC:13202	ADAMTS9		56999
HGNC:40625	ADAMTS9-AS1		101929335
HGNC:42435	ADAMTS9-AS2		100507098
HGNC:13201	ADAMTS10		81794
HGNC:14605	ADAMTS12		81792
HGNC:1366	ADAMTS13	C9orf8	11093
HGNC:14899	ADAMTS14		140766
HGNC:16305	ADAMTS15		170689
HGNC:17108	ADAMTS16		170690
HGNC:55548	ADAMTS16-DT		101929176
HGNC:17109	ADAMTS17		170691
HGNC:17110	ADAMTS18	ADAMTS21	170692
HGNC:17111	ADAMTS19		171019
HGNC:40797	ADAMTS19-AS1		103689846
HGNC:17178	ADAMTS20		80070
HGNC:14632	ADAMTSL1	C9orf94	92949
HGNC:14631	ADAMTSL2		9719
HGNC:14633	ADAMTSL3		57188
HGNC:19706	ADAMTSL4	TSRC1	54507
HGNC:32041	ADAMTSL4-AS1	C1orf138	
HGNC:40895	ADAMTSL4-AS2		100289061
HGNC:27912	ADAMTSL5	THSD6	339366
HGNC:16486	ADAP1	CENTA1	11033
HGNC:16487	ADAP2	CENTA2	55803
HGNC:225	ADAR	IFI4, G1P1	103
HGNC:226	ADARB1		104
HGNC:227	ADARB2		105
HGNC:23299	ADARB2-AS1	C10orf109, NCRNA00168	642394
HGNC:228	ADAT1		23536
HGNC:21172	ADAT2	DEADC1	134637
HGNC:25151	ADAT3		113179
HGNC:19038	ADCK1		57143
HGNC:19039	ADCK2		90956
HGNC:21738	ADCK5		203054
HGNC:229	ADCP1		106
HGNC:232	ADCY1	DFNB44	107
HGNC:233	ADCY2		108
HGNC:234	ADCY3		109
HGNC:235	ADCY4		196883
HGNC:236	ADCY5		111
HGNC:237	ADCY6		112
HGNC:53332	ADCY6-DT		100506125
HGNC:238	ADCY7		113
